id,departamento,region_macro,actitud_lider,actitud_oposicion,actitud_cinismo,golpe_raw,actitud_golpe,cierre_raw,actitud_cierre,prioriza_seguridad,miedo_barrio,victima_crimen,confianza_policia,mujer,educacion,ingresos
6882,San Martín,Selva,2,4,4,1,1,1,1,0,2,1,3,1,4,1104
8699,San Martín,Selva,4,4,5,1,1,1,1,0,3,1,5,0,6,1112
683,San Martín,Selva,2,3,4,1,1,1,1,0,3,0,4,0,6,1112
6835,San Martín,Selva,3,2,2,2,0,1,1,0,1,0,5,0,5,1106
3727,San Martín,Selva,2,4,2,1,1,2,0,0,2,1,3,1,6,1108
8575,San Martín,Selva,2,4,4,1,1,1,1,0,3,0,4,0,6,1110
789,San Martín,Selva,2,3,5,1,1,1,1,0,2,1,3,1,4,1107
4455,San Martín,Selva,4,1,1,1,1,2,0,0,2,0,3,0,5,1111
5445,San Martín,Selva,2,3,6,1,1,1,1,0,2,0,2,0,5,1107
8700,San Martín,Selva,3,3,4,1,1,2,0,0,3,0,4,1,1,
5801,San Martín,Selva,3,5,3,1,1,1,1,0,1,0,5,0,4,1105
3157,San Martín,Selva,2,2,7,1,1,1,1,0,2,0,2,1,4,
4245,San Martín,Selva,3,1,2,1,1,2,0,0,1,0,4,1,5,1105
8931,San Martín,Selva,4,3,7,1,1,2,0,0,,0,7,1,1,1102
2108,San Martín,Selva,4,7,4,1,1,1,1,0,3,0,7,0,6,1108
4275,San Martín,Selva,4,3,4,2,0,2,0,0,2,0,3,1,6,1109
6527,San Martín,Selva,3,3,2,1,1,2,0,0,2,0,6,1,5,
5374,San Martín,Selva,2,1,1,2,0,2,0,1,1,1,3,1,5,
6781,San Martín,Selva,2,5,3,2,0,1,1,0,1,0,5,0,4,1105
7720,San Martín,Selva,4,5,2,1,1,1,1,0,3,0,1,0,4,1106
5973,Lambayeque,Costa Norte,5,2,1,1,1,2,0,0,1,0,5,1,4,1101
1132,Lambayeque,Costa Norte,3,2,1,1,1,1,1,0,1,1,4,1,0,1102
6631,Lambayeque,Costa Norte,2,5,3,2,0,2,0,0,3,0,5,0,4,1102
2225,Lambayeque,Costa Norte,3,2,2,1,1,1,1,0,4,1,3,0,4,1106
6372,Lambayeque,Costa Norte,2,4,2,1,1,2,0,0,3,0,3,0,4,1104
45,Lambayeque,Costa Norte,4,2,2,1,1,1,1,0,2,0,3,0,4,1111
6218,Lambayeque,Costa Norte,1,3,5,2,0,2,0,0,2,0,2,1,4,1101
3901,Lambayeque,Costa Norte,2,3,4,2,0,1,1,0,2,0,3,0,4,1101
7932,Lambayeque,Costa Norte,4,6,3,1,1,2,0,0,3,0,3,1,2,1101
5651,Lambayeque,Costa Norte,2,3,3,1,1,2,0,0,4,1,4,1,3,1108
1018,Lambayeque,Costa Norte,4,4,3,1,1,1,1,0,3,1,6,0,4,1102
1200,Lambayeque,Costa Norte,3,5,3,1,1,1,1,0,1,0,3,1,6,1115
